ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Live animal of the taxonomic species Caranx crysos, within the Family Carangidae. The organisms are commonly known as Blue runner or Carangue coubali or Cojinúa negra. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Caranx-crysos.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Caranx crysos",A08TP#F02.A0EJV,Blue runner (as animal),Caranx crysos,Carangue coubali$Cojinúa negra
"Live animal of the taxonomic genus Chama spp., within the Family Chamidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=137775£https://en.wikipedia.org/wiki/Chama_(genus)",A112L#F02.A0EJR,Chama (generic) (as animal),Chama spp.,
Twistedleaf garlic as living plant including all members of the taxonomic group Allium obliquum L. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Allium_obliquum,A0DZS#F02.A0EKJ,Twistedleaf garlic (as plant),Allium obliquum L.,
"Live animal of the taxonomic genus Alestes spp., within the Family Alestidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Alestes£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Alestes",A0JGS#F02.A0EJV,Alestes (generic) (as animal),Alestes spp.,
Live animal of the taxonomic family Siganidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/FamilySummary.php?family=Siganidae£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Siganidae,A0V1J#F02.A0EJV,Siganidae (as animal),Siganidae,
"Live animal of the taxonomic species Peprilus medius, within the Family Stromateidae. The organisms are commonly known as Pacific harvestfish or Stromaté du Pacifique or Palometa cometrapo. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Peprilus-medius.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Peprilus medius",A0V5K#F02.A0EJV,Pacific harvestfish (as animal),Peprilus medius,Stromaté du Pacifique$Palometa cometrapo
"Live animal of the taxonomic species Premnas biaculeatus, within the Family Pomacentridae. The organisms are commonly known as Spinecheek anemonefish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Premnas-biaculeatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Premnas biaculeatus",A0RXP#F02.A0EJV,Spinecheek anemonefish (as animal),Premnas biaculeatus,
"Live animal of the taxonomic genus Daruma spp., within the Family Cottidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Daruma£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Daruma",A0X7G#F02.A0EJV,Daruma (generic) (as animal),Daruma spp.,
"The group includes any type of Beer, an alcoholic beverage obtained by the fermentation of malt (or other saccharine substance), flavoured with hops or other aromatic bitter ingredients. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Beer£https://www.google.co.uk/search?tbm=isch&q=Beer",A03MB#F02.A0ENH$F28.A0C01$F33.A0C1N,Beer,,
"Live plant organism of the taxonomic group Consolida ajacis (L.) Schur , Delphinium ajacis L. , Consolida ambigua (L.) P.W.Ball & Heywood . The group is relevant for the list of Botanicals. The plant is a member of the family Ranunculaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Consolida_ajacis",A146D#F02.A0BA0,Consolida ajacis (L.) Schur (as plant),Consolida ajacis (L.) Schur$Delphinium ajacis L.$Consolida ambigua (L.) P.W.Ball & Heywood,
"The food item has an alcohol content which, when rounded with the standard rules of rounding, equals 9.8 % (volume/volume)",A07CA,9.8 % alcohol v/v,,
"Oilseeds from the plant classified under the species Brassica campestris L., commonly known as Mustard seed, field or Indian rape seed or Indian colza. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Brassica_campestris£https://www.google.co.uk/search?tbm=isch&q=Mustard seed, field",A015T#F01.A05SE$F02.A066S$F27.A015T$F33.A0C19,"Mustard seed, field",Brassica campestris L.,Indian rape seed$Indian colza
"Live animal of the taxonomic genus Stemonosudis spp., within the Family Paralepididae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Stemonosudis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Stemonosudis",A0HRY#F02.A0EJV,Stemonosudis (generic) (as animal),Stemonosudis spp.,
Live plant organism of the taxonomic group Arnica montana L. The group is relevant for the list of Botanicals. The plant is a member of the family Asteraceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Arnica_montana,A13PH#F02.A0BA0,Arnica montana L. (as plant),Arnica montana L.,
"Live animal of the taxonomic species Mitra stictica, within the Family Mitridae. The organisms are commonly known as Pontifical miter or Mitre pontificale. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=590546£https://en.wikipedia.org/wiki/Mitra_stictica",A10SE#F02.A0EJR,Pontifical miter (as animal),Mitra stictica,Mitre pontificale
"The group includes any type of Fruit in vinegar or brine, or similarly marinated fruit",A0EVB,Fruit in vinegar or brine (marinated) (as part-nature),,
"Live animal of the taxonomic species Melamphaes leprus, within the Family Melamphaidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Melamphaes-leprus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Melamphaes leprus",A0P4C#F02.A0EJV,Melamphaes leprus (as animal),Melamphaes leprus,
This nature refers to live bulb vegetables,A0EKJ,Live bulb vegetables (as part-nature),,
"Live animal of the taxonomic species Pristiophorus nudipinnis, within the Family Pristiophoridae. The organisms are commonly known as Shortnose sawshark or Requin scie à nez court or Tiburón sierra ñato. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Pristiophorus-nudipinnis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pristiophorus nudipinnis",A0FZJ#F02.A0EJV,Shortnose sawshark (as animal),Pristiophorus nudipinnis,Requin scie à nez court$Tiburón sierra ñato
The group includes any type of meat terrine such as meat paté or Mousseline or galantine. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Terrine_(food)£https://www.google.co.uk/search?tbm=isch&q=Meat terrine,A03XH#F02.A06GH$F04.A0EYH,Meat terrine,,meat paté$Mousseline$galantine
Live animal of the taxonomic species Acrocephalus agricola. The animals are commonly known as Paddyfield Warbler. The part considered is by default the whole living organism. £https://www.iucnredlist.org/species/22714714/111077678£https://en.wikipedia.org/wiki/Paddyfield_warbler,A182J#F02.A0EJX,Paddyfield Warbler (as animal),Acrocephalus agricola,
Live animal of the taxonomic species Tamiops swinhoei. The animals are commonly known as Swinhoe's striped squirrel. The part considered is by default the whole living animal.£https://en.wikipedia.org/wiki/Swinhoe%27s_striped_squirrel,A19EF#F02.A0EJN,Swinhoe's striped squirrel (as animal),Tamiops swinhoei,
"Live animal of the taxonomic genus Tathicarpus spp., within the Family Antennariidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Tathicarpus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Tathicarpus",A0YLG#F02.A0EJV,Tathicarpus (generic) (as animal),Tathicarpus spp.,
"Mixture of chemicals and/or extracts formulated in such a way to reproduce the original Peanut butter flavour. The effect is generally intense, therefore small amounts are able to provide a well recognisable smell and taste to the food to which it is added.£https://en.wikipedia.org/wiki/Flavor£https://www.google.co.uk/search?tbm=isch&q=Peanut butter food flavouring",A06SD#F02.A06CD,Peanut butter flavour,,
Live animals of the taxonomic species Stercorarius maccormicki. The animals are commonly known as South Polar Skua. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/South_Polar_Skua£https://www.iucnredlist.org/species/22694218/132533643,A17YF#F02.A0EJX,South Polar Skua (as animal),Stercorarius maccormicki$Catharacta maccormicki$Stercorarius maccormicki maccormicki,
"Live plant organism of the taxonomic group Senna alexandrina Mill., Cassia acutifolia Delile, Cassia angustifolia Vahl, Cassia senna L. The group is relevant for the list of Botanicals. The plant is a member of the family Fabaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Senna_alexandrina",A15NY#F02.A0BA0,Senna alexandrina Mill. (as plant),Senna alexandrina Mill.$Cassia acutifolia Delile$Cassia angustifolia Vahl$Cassia senna L.,
"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Anas platyrhynchos domesticus and Cairina moschata momelanotus. The group includes any type of duck-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A04EH,Duck meat food,Anas platyrhynchos domesticus$Cairina moschata momelanotus,
"Live animal of the taxonomic genus Parachirus spp., within the Family Soleidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Parachirus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Parachirus",A0XTP#F02.A0EJV,Parachirus (generic) (as animal),Parachirus spp.,
"The group includes any type of Energy drinks, non-alcoholic functional beverages usually containing caffeine and other ingredients such as vitamins and taurine. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Energy_drinks£https://www.google.co.uk/search?tbm=isch&q=Energy drinks",A03GA#F02.A0ENT$F33.A0C1T,Energy drinks,,
"Live animal of the taxonomic genus Lamontichthys spp., within the Family Loricariidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Lamontichthys£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Lamontichthys",A0LZF#F02.A0EJV,Lamontichthys (generic) (as animal),Lamontichthys spp.,
Live plant organism of the taxonomic group Derris elliptica (Wall.) Benth.. The group is relevant for the list of Botanicals. The plant is a member of the family Fabaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Derris_elliptica,A14CD#F02.A0BA0,Derris elliptica (Wall.) Benth. (as plant),Derris elliptica (Wall.) Benth.,
"Live animal of the taxonomic species Caribachlamys ornata Lamarck, Chlamys ornata Lamarck, within the Family Pectinidae. The organisms are commonly known as Ornate Scallop. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=393707£https://en.wikipedia.org/wiki/Caribachlamys_ornata",A0B1G#F02.A0EJR,Ornate Scallop (as animal),Caribachlamys ornata Lamarck$Chlamys ornata Lamarck,
"Live animal of the taxonomic genus Ischnochiton spp., within the Family Ischnochitonidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138088£https://en.wikipedia.org/wiki/Ischnochiton",A102V#F02.A0EJR,Ischnochiton (generic) (as animal),Ischnochiton spp.,
"Live animal of the taxonomic genus Leucopsarion spp., within the Family Gobiidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Leucopsarion£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Leucopsarion",A0TLZ#F02.A0EJV,Leucopsarion (generic) (as animal),Leucopsarion spp.,
"Live animals of the taxonomic species Podoces panderi.The animals are commonly known as Turkestan Ground-Jay (or Pander's Ground Jay, Turkestan Ground Jay). The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Podoces_panderi£https://www.iucnredlist.org/species/22705893/94040127",A1ADD#F02.A0EJX,Turkestan Ground-Jay (as animal),Podoces panderi,Pander's Ground Jay$Turkestan Ground Jay
